date,p1_ticker,p1_gap,p2_ticker,p2_gap,p2_open,p2_prev_close,p2_prev_turnover,no_trade
2026-05-01,LABT,0.5865,ESPR,0.565,3.13,2.0,9577200,False
2026-05-04,PN,1.0105,GBTG,0.5691,9.305,5.93,4398873,False
2026-05-05,BLZE,0.6013,CLRB,0.5936,4.51,2.83,93955,False
2026-05-06,EVC,0.6307,AHMA,0.6,1.76,1.1,96030,False
2026-05-07,ATRA,0.5243,RMSG,0.2879,1.7,1.32,143088,False
2026-05-08,TRAW,0.2059,WEST,0.1644,6.87,5.9,3344710,False
2026-05-11,ASBP,28.7297,DKI,14.5357,5.22,0.336,213931,True
2026-05-12,BZFD,1.3288,CNCK,0.3686,2.395,1.75,97125,False
2026-05-13,AEHL,0.436,FCHL,0.3985,1.86,1.33,5714478,False
2026-05-14,SNAL,1.7789,YOOV,1.0346,1.41,0.693,97990,False
2026-05-15,HCWB,2.2938,AUUD,0.7131,2.09,1.22,623908,False
2026-05-18,GOVX,1.4634,HCAI,0.6318,9.04,5.54,626019,False
2026-05-19,AMST,2.0789,RUBI,1.0289,3.51,1.73,189435,False
2026-05-20,SLXN,1.342,PETZ,0.321,1.07,0.81,54837,False
2026-05-21,SBFM,0.5204,NIVF,0.4073,1.04,0.739,165831,False
2026-05-22,AKTX,0.93,BIYA,0.8204,1.125,0.618,937753,False
2026-05-26,YMAT,2.2747,QTEX,1.1458,1.56,0.727,573286535,False
2026-05-27,ASTC,2.004,AMSS,1.0978,7.51,3.58,796191,False
2026-05-28,NCT,1.1163,ATPC,1.0246,5.77,2.85,39469648,False
2026-05-29,HUBC,2.5273,PRFX,2.4599,4.74,1.37,25469259,True
2026-06-01,TGHL,5.092,HKIT,1.1884,3.195,1.46,1222896,False
2026-06-02,BJDX,1.8203,DXST,0.8562,2.97,1.6,16431360,False
2026-06-03,XOS,1.9058,SDOT,0.8537,6.08,3.28,627463,False
2026-06-04,FOXX,0.7762,TWAV,0.5775,2.24,1.42,11126977,False
2026-06-05,OPAD,8.4595,RMSG,1.9682,3.265,1.1,36211670,False
2026-06-08,SUNE,1.646,GMHS,0.5708,1.475,0.939,23373212,False
2026-06-09,CCTG,8.8539,CHAI,3.3537,3.57,0.82,49079295,True
2026-06-10,DSY,4.2065,VSME,3.4957,3.7,0.823,2327361,True
2026-06-11,CCHH,1.9335,GLXG,1.6127,2.55,0.976,214427,False
2026-06-12,BYAH,1.7333,DSY,0.7732,6.88,3.88,4868624,False
