date,ticker,gap,entry,reason,ret,cap_full,cap_half,data
2026-05-01,ESPR,0.565,3.1301,TIME(10:00),-0.0053,99.47,99.73,5m
2026-05-04,GBTG,0.5691,9.305,TIME(10:00),0.007,100.17,100.08,5m
2026-05-05,CLRB,0.5936,4.505,TIME(10:00),-0.0966,90.49,95.25,5m
2026-05-06,AHMA,0.6,1.76,TIME(10:00),-0.1364,78.15,88.75,5m
2026-05-07,RMSG,0.2879,1.7,TIME(10:00),-0.0785,72.01,85.27,5m
2026-05-08,WEST,0.1644,6.89,TIME(10:00),0.1923,85.86,93.47,5m
2026-05-11,DKI,14.5357,,NO TRADE (gap>=200%),0.0,85.86,93.47,-
2026-05-12,CNCK,0.3686,2.3296,TIME(10:00),-0.0385,82.56,91.67,5m
2026-05-13,FCHL,0.3985,1.86,TIME(10:00),0.1828,97.65,100.05,5m
2026-05-14,YOOV,1.0346,1.42,SL,-0.2,78.12,90.04,5m
2026-05-15,AUUD,0.7131,2.09,TIME(10:00),-0.0144,76.99,89.4,5m
2026-05-18,HCAI,0.6318,9.04,TIME(10:00),-0.0033,76.74,89.25,1m
2026-05-19,RUBI,1.0289,3.52,SL,-0.2,61.39,80.32,1m
2026-05-20,PETZ,0.321,1.075,TIME(10:00),0.0788,66.23,83.49,1m
2026-05-21,NIVF,0.4073,1.05,TIME(10:00),0.2762,84.52,95.02,1m
2026-05-22,BIYA,0.8204,1.125,TIME(10:00),0.0492,88.68,97.35,1m
2026-05-26,QTEX,1.1458,1.565,TIME(10:00),-0.125,77.59,91.27,1m
2026-05-27,AMSS,1.0978,7.565,TIME(10:00),-0.0509,73.64,88.95,1m
2026-05-28,ATPC,1.0246,5.815,TIME(10:00),0.0198,75.1,89.83,1m
2026-05-29,PRFX,2.4599,,NO TRADE (gap>=200%),0.0,75.1,89.83,-
2026-06-01,HKIT,1.1884,3.195,TP,0.5,112.65,112.28,1m
2026-06-02,DXST,0.8562,2.984,TP,0.5,168.98,140.36,1m
2026-06-03,SDOT,0.8537,6.0925,TIME(10:00),0.2048,203.59,154.73,1m
2026-06-04,TWAV,0.5775,2.23,TIME(10:00),-0.0045,202.67,154.38,1m
2026-06-05,RMSG,1.9682,3.27,TIME(10:00),-0.1361,175.09,143.87,1m
2026-06-08,GMHS,0.5708,1.475,TIME(10:00),-0.1017,157.28,136.56,1m
2026-06-09,CHAI,3.3537,,NO TRADE (gap>=200%),0.0,157.28,136.56,-
2026-06-10,VSME,3.4957,,NO TRADE (gap>=200%),0.0,157.28,136.56,-
2026-06-11,GLXG,1.6127,2.55,TP,0.5,235.92,170.7,1m
2026-06-12,DSY,0.7732,6.885,SL,-0.2,188.74,153.63,1m
